codigo;descricao
1.01;Análise e desenvolvimento de sistemas
1.02;Programação
1.03;Processamento, armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas,
1.04;Elaboração de programas de computadores, inclusive de jogos eletrônicos, independentemente da
1.05;Licenciamento ou cessão de direito de uso de programas de computação
1.06;Assessoria e consultoria em informática
1.07;Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de
1.08;Planejamento, confecção, manutenção e atualização de páginas eletrônicas
1.09;Disponibilização, sem cessão definitiva, de conteúdos de áudio, vídeo, imagem e texto por meio da internet,
2.01;Serviços de pesquisas e desenvolvimento de qualquer natureza
3.01;(VETADO)
3.02;Cessão de direito de uso de marcas e de sinais de propaganda
3.03;Exploração de salões de festas, centro de convenções, escritórios virtuais, stands, quadras esportivas,
3.04;Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de
3.05;Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário
4.01;Medicina e biomedicina
4.02;Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância
4.03;Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e
4.04;Instrumentação cirúrgica
4.05;Acupuntura
4.06;Enfermagem, inclusive serviços auxiliares
4.07;Serviços farmacêuticos
4.08;Terapia ocupacional, fisioterapia e fonoaudiologia
4.09;Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental
4.10;Nutrição
4.11;Obstetrícia
4.12;Odontologia
4.13;Ortóptica
4.14;Próteses sob encomenda
4.15;Psicanálise
4.16;Psicologia
4.17;Casas de repouso e de recuperação, creches, asilos e congêneres
4.18;Inseminação artificial, fertilização in vitro e congêneres
4.19;Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres
4.20;Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie
4.21;Unidade de atendimento, assistência ou tratamento móvel e congêneres
4.22;Planos de medicina de grupo ou individual e convênios para prestação de assistência médica, hospitalar,
4.23;Outros planos de saúde que se cumpram através de serviços de terceiros contratados, credenciados,
5.01;Medicina veterinária e zootecnia
5.02;Hospitais, clínicas, ambulatórios, prontos-socorros e congêneres, na área veterinária
5.03;Laboratórios de análise na área veterinária
5.04;Inseminação artificial, fertilização in vitro e congêneres
5.05;Bancos de sangue e de órgãos e congêneres
5.06;Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie
5.07;Unidade de atendimento, assistência ou tratamento móvel e congêneres
5.08;Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres
5.09;Planos de atendimento e assistência médico-veterinária. (Vide Lei Complementar nº 175, de 2020)
6.01;Barbearia, cabeleireiros, manicuros, pedicuros e congêneres
6.02;Esteticistas, tratamento de pele, depilação e congêneres
6.03;Banhos, duchas, sauna, massagens e congêneres
6.04;Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas
6.05;Centros de emagrecimento, spa e congêneres
6.06;Aplicação de tatuagens, piercings e congêneres. (Incluído pela Lei Complementar nº 157, de 2016)
7.01;Engenharia, agronomia, agrimensura, arquitetura, geologia, urbanismo, paisagismo e congêneres
7.02;Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou
7.03;Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com
7.04;Demolição
7.05;Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o
7.06;Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros,
7.07;Recuperação, raspagem, polimento e lustração de pisos e congêneres
7.08;Calafetação
7.09;Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos
7.10;Limpeza, manutenção e conservação de vias e logradouros públicos, imóveis, chaminés, piscinas, parques,
7.11;Decoração e jardinagem, inclusive corte e poda de árvores
7.12;Controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos
7.13;Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e
7.14;(VETADO)
7.15;(VETADO)
7.16;Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e
7.17;Escoramento, contenção de encostas e serviços congêneres
7.18;Limpeza e dragagem de rios, portos, canais, baías, lagos, lagoas, represas, açudes e congêneres
7.19;Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo
7.20;Aerofotogrametria (inclusive interpretação), cartografia, mapeamento, levantamentos topográficos,
7.21;Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria,
7.22;Nucleação e bombardeamento de nuvens e congêneres
8.01;Ensino regular pré-escolar, fundamental, médio e superior
8.02;Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer
9.01;Hospedagem de qualquer natureza em hotéis, apart-service condominiais, flat, apart-hotéis, hotéis
9.02;Agenciamento, organização, promoção, intermediação e execução de programas de turismo, passeios,
9.03;Guias de turismo
10.01;Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de
10.02;Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer
10.03;Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária
10.04;Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de
10.05;Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens
10.06;Agenciamento marítimo
10.07;Agenciamento de notícias
10.08;Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios
10.09;Representação de qualquer natureza, inclusive comercial
10.10;Distribuição de bens de terceiros
11.01;Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações
11.02;Vigilância, segurança ou monitoramento de bens, pessoas e semoventes. (Redação dada pela Lei
11.03;Escolta, inclusive de veículos e cargas
11.04;Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie
11.05;Serviços relacionados ao monitoramento e rastreamento a distância, em qualquer via ou local, de
12.01;Espetáculos teatrais
12.02;Exibições cinematográficas
12.03;Espetáculos circenses
12.04;Programas de auditório
12.05;Parques de diversões, centros de lazer e congêneres
12.06;Boates, taxi-dancing e congêneres
12.07;Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres
12.08;Feiras, exposições, congressos e congêneres
12.09;Bilhares, boliches e diversões eletrônicas ou não
12.10;Corridas e competições de animais
12.11;Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador
12.12;Execução de música
12.13;Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet,
12.14;Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo
12.15;Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres
12.16;Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições
12.17;Recreação e animação, inclusive em festas e eventos de qualquer natureza
13.01;(VETADO)
13.02;Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres
13.03;Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres
13.04;Reprografia, microfilmagem e digitalização
13.05;Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia,
14.01;Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e
14.02;Assistência técnica
14.03;Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS)
14.04;Recauchutagem ou regeneração de pneus
14.05;Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem,
14.06;Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados
14.07;Colocação de molduras e congêneres
14.08;Encadernação, gravação e douração de livros, revistas e congêneres
14.09;Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento
14.10;Tinturaria e lavanderia
14.11;Tapeçaria e reforma de estofamentos em geral
14.12;Funilaria e lanternagem
14.13;Carpintaria e serralheria
14.14;Guincho intramunicipal, guindaste e içamento. (Redação dada pela Lei Complementar nº 157, de 2016)
15.01;Administração de fundos quaisquer, de consórcio, de cartão de crédito ou débito e congêneres, de carteira
15.02;Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de
15.03;Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de
15.04;Fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de
15.05;Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres, inclusão ou exclusão no
15.06;Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral, abono de firmas
15.07;Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo,
15.08;Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito
15.09;Arrendamento mercantil (leasing) de quaisquer bens, inclusive cessão de direitos e obrigações,
15.10;Serviços relacionados a cobranças, recebimentos ou pagamentos em geral, de títulos quaisquer, de contas
15.11;Devolução de títulos, protesto de títulos, sustação de protesto, manutenção de títulos, reapresentação de
15.12;Custódia em geral, inclusive de títulos e valores mobiliários
15.13;Serviços relacionados a operações de câmbio em geral, edição, alteração, prorrogação, cancelamento e
15.14;Fornecimento, emissão, reemissão, renovação e manutenção de cartão magnético, cartão de crédito,
15.15;Compensação de cheques e títulos quaisquer, serviços relacionados a depósito, inclusive depósito
15.16;Emissão, reemissão, liquidação, alteração, cancelamento e baixa de ordens de pagamento, ordens de
15.17;Emissão, fornecimento, devolução, sustação, cancelamento e oposição de cheques quaisquer, avulso ou
15.18;Serviços relacionados a crédito imobiliário, avaliação e vistoria de imóvel ou obra, análise técnica e jurídica,
16.01;Serviços de transporte coletivo municipal rodoviário, metroviário, ferroviário e aquaviário de passageiros
16.02;Outros serviços de transporte de natureza municipal. (Incluído pela Lei Complementar nº 157, de 2016)
17.01;Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista, análise, exame,
17.02;Datilografia, digitação, estenografia, expediente, secretaria em geral, resposta audível, redação, edição,
17.03;Planejamento, coordenação, programação ou organização técnica, financeira ou administrativa
17.04;Recrutamento, agenciamento, seleção e colocação de mão-de-obra
17.05;Fornecimento de mão-de-obra, mesmo em caráter temporário, inclusive de empregados ou trabalhadores,
17.06;Propaganda e publicidade, inclusive promoção de vendas, planejamento de campanhas ou sistemas de
17.07;(VETADO)
17.08;Franquia (franchising)
17.09;Perícias, laudos, exames técnicos e análises técnicas
17.10;Planejamento, organização e administração de feiras, exposições, congressos e congêneres
17.11;Organização de festas e recepções, bufê (exceto o fornecimento de alimentação e bebidas, que fica sujeito
17.12;Administração em geral, inclusive de bens e negócios de terceiros
17.13;Leilão e congêneres
17.14;Advocacia
17.15;Arbitragem de qualquer espécie, inclusive jurídica
17.16;Auditoria
17.17;Análise de Organização e Métodos. 12/15
17.18;Atuária e cálculos técnicos de qualquer natureza
17.19;Contabilidade, inclusive serviços técnicos e auxiliares
17.20;Consultoria e assessoria econômica ou financeira
17.21;Estatística
17.22;Cobrança em geral
17.23;Assessoria, análise, avaliação, atendimento, consulta, cadastro, seleção, gerenciamento de informações,
17.24;Apresentação de palestras, conferências, seminários e congêneres
17.25;Inserção de textos, desenhos e outros materiais de propaganda e publicidade, em qualquer meio (exceto
18.01;Serviços de regulação de sinistros vinculados a contratos de seguros, inspeção e avaliação de riscos para
19.01;Serviços de distribuição e venda de bilhetes e demais produtos de loteria, bingos, cartões, pules ou cupons
20.01;Serviços portuários, ferroportuários, utilização de porto, movimentação de passageiros, reboque de
20.02;Serviços aeroportuários, utilização de aeroporto, movimentação de passageiros, armazenagem de
20.03;Serviços de terminais rodoviários, ferroviários, metroviários, movimentação de passageiros, mercadorias,
21.01;Serviços de registros públicos, cartorários e notariais
22.01;Serviços de exploração de rodovia mediante cobrança de preço ou pedágio dos usuários, envolvendo
23.01;Serviços de programação e comunicação visual, desenho industrial e congêneres
24.01;Serviços de chaveiros, confecção de carimbos, placas, sinalização visual, banners, adesivos e congêneres
25.01;Funerais, inclusive fornecimento de caixão, urna ou esquifes, aluguel de capela, transporte do corpo
25.02;Translado intramunicipal e cremação de corpos e partes de corpos cadavéricos. (Redação dada pela Lei
25.03;Planos ou convênio funerários
25.04;Manutenção e conservação de jazigos e cemitérios
25.05;Cessão de uso de espaços em cemitérios para sepultamento. (Incluído pela Lei Complementar nº 157, de
26.01;Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores,
27.01;Serviços de assistência social
28.01;Serviços de avaliação de bens e serviços de qualquer natureza
29.01;Serviços de biblioteconomia
30.01;Serviços de biologia, biotecnologia e química
31.01;Serviços técnicos em edificações, eletrônica, eletrotécnica, mecânica, telecomunicações e congêneres
32.01;Serviços de desenhos técnicos
33.01;Serviços de desembaraço aduaneiro, comissários, despachantes e congêneres
34.01;Serviços de investigações particulares, detetives e congêneres
35.01;Serviços de reportagem, assessoria de imprensa, jornalismo e relações públicas
36.01;Serviços de meteorologia
37.01;Serviços de artistas, atletas, modelos e manequins
38.01;Serviços de museologia
39.01;Serviços de ourivesaria e lapidação (quando o material for fornecido pelo tomador do serviço)
40.01;Obras de arte sob encomenda